Product Name,Product Category,Price ($),Stock Quantity,Release Date
Smartphone,Electronics,699.99,50,15/01/2023
Laptop,Electronics,999.99,30,10/11/2022
Wireless Headphones,Electronics,199.99,100,22/03/2023
Smartwatch,Electronics,249.99,75,05/08/2022
Tablet,Electronics,399.99,120,01/12/2022
Keyboard,Accessories,49.99,150,10/02/2023
Mouse,Accessories,29.99,200,18/01/2023
Monitor,Accessories,199.99,60,30/03/2023
Webcam,Accessories,89.99,120,05/04/2023
Charger,Accessories,19.99,300,25/01/2023
Power Bank,Accessories,29.99,250,12/02/2023
USB Drive,Accessories,59.99,180,10/03/2023
Bluetooth Speaker,Accessories,99.99,100,28/02/2023
Earphones,Accessories,149.99,60,08/01/2023
Smart Glasses,Accessories,249.99,80,30/01/2023
Printer,Electronics,129.99,200,20/10/2022
Scanner,Electronics,89.99,150,22/01/2023
Router,Networking,59.99,300,19/02/2023
External Hard Drive,Storage,119.99,120,14/01/2023
Gaming Console,Gaming,499.99,50,02/02/2023
